order_id,customer_id,order_status,shipping_method,payment_terms,shipping_fee,created_at,updated_at,is_deleted
O00153,C01024,failed,EXPRESS,,45.2,2024-06-22 06:41:22,2024-03-11 12:36:48,0
O00154,C03617,Completed,Pickup,,173.46,2024-07-18 01:38:48,2024-08-19 06:08:44,0
O00155,C01756,Processing,Pickup,Postpaid,37.78,2024-02-03 08:41:08,2024-02-06 03:51:55,0
O00156,C04099,completed,,Postpaid,134.3,2024-01-17 14:44:49,2024-12-28 05:03:31,1
O00157,C01272,,Pickup,,32.65,2024-05-25 19:48:21,2024-07-17 07:30:37,0
O00158,C02452,,Express,Postpaid,196.9,2024-01-29 13:21:38,2024-05-16 10:19:04,0
O00159,C00336,completed,Express,Postpaid,143.83,2024-10-10 03:32:47,2024-12-30 04:47:12,0
O00160,C02029,completed,standard,Postpaid,11.28,2024-01-24 02:51:35,2024-04-21 12:08:19,1
O00161,C04225,Completed,Pickup,Prepaid,127.49,2024-09-09 17:11:10,2024-06-16 06:03:05,0
O00162,C00026,,Express,,134.64,2024-07-09 08:17:26,2024-06-12 01:23:02,0
O00163,C04166,,STANDARD,Postpaid,94.58,2024-03-09 00:50:05,2024-03-26 07:51:02,0
O00164,C03581,,Pickup,Prepaid,186.32,2024-01-01 07:06:57,2024-05-09 09:26:17,0
O00165,C02799,Processing,Pickup,Postpaid,177.69,2024-06-06 10:40:04,2024-04-11 19:28:42,1
O00166,C00173,REFUNDED,,,181.28,2024-04-27 05:18:54,2024-10-01 01:09:05,0
O00167,C01350,Refunded,,Prepaid,14.07,2024-08-28 15:14:27,2024-06-26 23:30:35,0
O00168,C00380,PENDING,Pickup,Postpaid,20.2,2024-05-12 02:59:10,2024-07-07 22:06:25,1
O00169,C03404,Refunded,Express,Postpaid,155.6,2024-08-02 10:57:51,2024-08-10 05:24:50,0
O00170,C04096,,,Prepaid,51.81,2024-03-11 18:37:47,2024-07-17 16:35:59,0
O00171,C00447,Pending,pickup,Prepaid,10.22,2024-12-09 10:31:49,2024-06-13 16:48:41,1
O00172,C00042,processing,Pickup,Prepaid,136.31,2024-07-16 12:32:57,2024-03-04 00:59:15,0
O00173,C00720,Refunded,express,Prepaid,16.57,2024-07-06 01:44:28,2024-01-30 17:02:53,0
O00174,C04429,Failed,,Prepaid,19.08,2024-01-26 05:52:19,2024-05-09 15:18:30,0
O00175,C01466,FAILED,,,166.31,2024-11-28 01:35:17,2024-09-15 14:38:13,0
O00176,C01466,PENDING,Standard,,97.55,2024-11-15 00:43:04,2024-09-24 20:05:49,0
O00177,C02895,Processing,,,72.43,2024-04-14 07:31:04,2024-09-25 06:38:17,0
O00178,C02798,Completed,,Postpaid,62.53,2024-08-16 08:33:50,2024-11-08 22:06:58,0
O00179,C03438,failed,,Prepaid,8.03,2024-07-23 08:38:22,2024-05-24 05:33:50,1
O00180,C00594,REFUNDED,Express,,131.85,2024-03-30 01:54:37,2024-11-17 21:58:50,0
O00181,C00262,Refunded,Pickup,Prepaid,93.03,2024-06-23 08:20:51,2024-08-26 19:52:49,1
O00182,C02196,,pickup,Prepaid,160.52,2024-08-25 00:05:46,2024-10-30 10:32:26,1
O00183,C01109,PENDING,Standard,Postpaid,158.13,2024-07-30 18:24:46,2024-11-19 04:37:29,0
O00184,C01798,,Pickup,Prepaid,178.34,2024-09-25 14:38:10,2024-06-15 01:01:51,0
O00185,C00102,Pending,Pickup,Postpaid,141.83,2024-10-25 04:45:18,2024-03-08 19:45:14,1
O00186,C02669,,,Prepaid,152.84,2024-06-02 09:02:07,2024-05-12 05:47:06,0
O00187,C03339,Processing,Express,Postpaid,115.85,2024-05-22 01:27:18,2024-04-01 08:07:43,0
O00188,C02063,REFUNDED,Express,Prepaid,132.46,2024-09-18 01:58:10,2024-12-05 00:20:14,0
O00189,C04509,Failed,Pickup,Prepaid,18.13,2024-02-12 07:10:07,2024-03-23 11:20:21,1
O00190,C02329,processing,,Postpaid,192.79,2024-01-18 17:55:35,2024-12-27 12:30:01,0
O00191,C01979,Pending,Standard,Postpaid,104.37,2024-01-19 03:41:37,2024-06-25 16:07:35,0
O00192,C02304,FAILED,Standard,,148.5,2024-09-14 13:18:37,2024-02-09 15:52:10,0
O00193,C03331,Refunded,,Postpaid,47.36,2024-07-04 20:18:40,2024-05-04 01:06:14,0
O00194,C00513,pending,Pickup,,141.27,2024-08-02 03:30:36,2024-06-06 17:45:35,1
O00195,C03106,F@iled,,Postpaid,109.6,2024-01-07 07:40:59,2024-02-12 15:31:58,0
O00196,C04286,Processing,Standard,,91.6,2024-02-18 23:37:33,2024-01-12 18:47:04,1
O00197,C03635,REFUNDED,,Prepaid,191.86,2024-01-21 05:53:50,2024-10-14 08:14:19,0
O00198,C02509,failed,Express,,85.09,2024-10-05 15:33:52,2024-07-22 22:50:43,1
O00199,C02652,,St@nd@rd,Prepaid,102.84,2024-01-05 01:14:50,2024-05-29 09:17:25,0
O00200,C04228,F@iled,Express,Postpaid,115.39,2024-02-04 16:40:42,2024-11-08 22:58:35,1
O00201,C01672,,,Postpaid,14.63,2024-06-02 23:02:21,2024-07-29 16:33:30,0
O00202,C03187,Refunded,,,31.23,2024-03-17 22:02:05,2024-05-20 07:48:50,0
O00203,C04030,Refunded,,,175.17,2024-10-02 07:32:31,2024-10-26 10:20:14,1
O00204,C03966,Processing,EXPRESS,,67.01,2024-05-15 18:01:25,2024-06-01 01:54:45,1
O00205,C01246,completed,,,158.18,2024-01-07 21:32:51,2024-01-03 18:48:53,0
O00206,C02925,Processing,St@nd@rd,Postpaid,0.05,2024-02-23 16:13:26,2024-12-02 21:46:56,0
O00207,C03309,Failed,Standard,,169.89,2024-05-08 01:42:04,2024-04-03 07:27:39,1
O00208,C01711,Pending,express,Prepaid,55.84,2024-09-09 06:09:53,2024-01-25 12:03:38,1
O00209,C00523,Pending,Express,Postpaid,53.21,2024-01-04 04:58:17,2024-02-09 16:57:01,0
O00210,C00059,Completed,,,82.95,2024-08-06 12:44:48,2024-06-23 21:14:00,0
O00211,C00884,Pending,express,,15.96,2024-01-18 22:22:33,2024-07-03 00:12:16,0
O00212,C00467,,Pickup,Postpaid,17.67,2024-03-10 19:21:53,2024-02-29 12:51:39,0
O00213,C01122,,standard,Prepaid,22.2,2024-10-26 10:25:51,2024-03-25 21:30:42,1
O00214,C01920,PROCESSING,STANDARD,Postpaid,185.14,2024-10-30 21:19:36,2024-11-29 00:44:06,0
O00215,C01183,F@iled,Pickup,Postpaid,79.14,2024-06-12 17:27:07,2024-01-09 22:48:49,0
O00216,C02324,Completed,Standard,Postpaid,67,2024-07-12 10:05:20,2024-08-05 01:17:37,0
O00217,C04395,Refunded,Standard,Postpaid,142.71,2024-01-14 23:21:56,2024-04-16 23:00:50,1
O00218,C04165,Pending,pickup,Postpaid,168.86,2024-07-14 07:32:52,2024-06-01 13:39:48,0
O00219,C04713,,PICKUP,Prepaid,120.87,2024-07-16 05:41:49,2024-04-01 11:44:21,0
O00220,C04084,FAILED,Pickup,Prepaid,31.79,2024-03-26 03:34:47,2024-12-28 11:12:37,0
O00221,C01731,Failed,,Postpaid,168.86,2024-09-08 07:11:42,2024-09-28 23:54:52,1
O00222,C03931,Failed,pickup,Postpaid,155.83,2024-11-05 01:43:39,2024-08-10 03:40:13,0
O00223,C03857,processing,Express,,159.81,2024-08-03 18:09:46,2024-07-24 18:26:07,0
O00224,C01804,,express,,24.25,2024-08-10 18:44:13,2024-04-16 04:13:13,0
O00225,C04925,,,,144.94,2024-06-26 19:31:04,2024-10-31 13:26:35,0
O00226,C03410,,Express,Postpaid,128.6,2024-09-03 15:59:40,2024-10-05 05:05:47,0
O00227,C04188,refunded,pickup,Postpaid,32.69,2024-09-06 14:48:37,2024-08-08 10:07:43,0
O00228,C03876,Completed,Pickup,Postpaid,187.61,2024-04-10 03:52:50,2024-04-04 22:06:06,0
O00229,C00755,Pending,Pickup,Postpaid,112.64,2024-11-13 15:58:21,2024-03-21 15:36:04,0
O00230,C02565,,STANDARD,,74.31,2024-04-02 21:47:37,2024-05-27 02:31:29,0
O00231,C03475,,standard,Postpaid,165.14,2024-02-28 07:08:47,2024-07-31 19:15:56,0
O00232,C02350,Pending,St@nd@rd,,128.87,2024-04-29 14:00:55,2024-11-04 06:11:40,1
O00233,C04735,F@iled,Express,Prepaid,163.73,2024-09-12 03:08:20,2024-08-11 11:00:00,0
O00234,C03043,,PICKUP,Prepaid,47.58,2024-12-05 00:45:22,2024-08-08 19:26:44,1
O00235,C03790,Refunded,Pickup,Prepaid,197.23,2024-08-19 16:10:42,2024-02-22 19:39:02,0
O00236,C02015,completed,,,125.41,2024-06-03 03:32:59,2024-01-08 17:34:23,0
O00237,C04013,Processing,EXPRESS,Postpaid,99.58,2024-04-13 17:41:27,2024-08-27 10:20:14,0
O00238,C01651,REFUNDED,PICKUP,Postpaid,182.91,2024-07-12 00:04:41,2024-11-08 14:57:41,0
O00239,C02032,Completed,,Prepaid,173.1,2024-08-24 17:11:53,2024-12-04 23:58:24,0
O00240,C02994,F@iled,pickup,Prepaid,114.03,2024-03-24 20:40:12,2024-12-16 12:02:03,0
O00241,C03510,,Express,Postpaid,13.22,2024-10-03 09:01:46,2024-11-21 07:44:54,0
O00242,C01359,pending,,,117.06,2024-01-02 16:02:10,2024-11-15 13:55:39,1
O00243,C04336,Completed,,Prepaid,59.66,2024-05-15 02:14:19,2024-10-30 05:40:25,0
O00244,C04741,FAILED,,,88.31,2024-06-14 04:14:35,2024-11-27 08:18:39,0
O00245,C04708,Refunded,Express,,104.16,2024-12-08 14:31:11,2024-01-11 14:20:02,0
O00246,C03224,failed,Standard,Prepaid,102.81,2024-02-16 13:05:38,2024-07-14 10:35:55,0
O00247,C04489,Failed,Pickup,,110.29,2024-10-13 20:56:09,2024-04-22 12:10:23,0
O00248,C01071,Completed,Express,,136.74,2024-10-11 05:01:11,2024-03-27 15:42:05,0
O00249,C04731,Refunded,Pickup,Postpaid,51.17,2024-07-08 00:43:51,2024-12-29 16:36:17,0
O00250,C01258,Refunded,Express,,11.42,2024-05-24 16:58:31,2024-12-15 10:15:28,0
O00251,C02310,Failed,Pickup,Prepaid,50.48,2024-11-11 01:53:07,2024-09-08 21:53:49,0
O00252,C04106,,St@nd@rd,,186.96,2024-10-14 09:04:51,2024-07-28 05:44:54,1
O00253,C01418,Processing,,Postpaid,166.45,2024-05-20 08:34:21,2024-07-08 02:20:45,0
O00254,C03142,Failed,Pickup,Prepaid,112.7,2024-06-02 04:07:10,2024-02-09 12:21:42,0
O00255,C01826,Completed,Express,Prepaid,161.28,2024-03-19 02:17:33,2024-12-17 22:19:08,0
O00256,C01000,,,Prepaid,177.7,2024-04-27 23:55:39,2024-12-22 14:29:09,0
O00257,C03937,Failed,Pickup,,10.77,2024-04-02 20:24:37,2024-07-25 14:47:16,0
O00258,C02436,Pending,Express,,161.56,2024-06-29 13:12:11,2024-05-17 15:24:55,0
O00259,C00506,PROCESSING,,Postpaid,123.1,2024-07-19 01:45:59,2024-08-02 15:16:35,1
O00260,C04500,Pending,,,97.4,2024-06-05 18:26:44,2024-08-06 04:22:19,0
O00261,C04963,Completed,Express,,50,2024-07-12 12:39:18,2024-03-23 04:32:38,0
O00262,C01075,Refunded,express,Prepaid,44.52,2024-11-05 04:27:08,2024-08-10 03:31:19,0
O00263,C02346,,Pickup,Prepaid,67.09,2024-01-15 19:48:17,2024-03-08 19:14:49,0
O00264,C01147,Failed,St@nd@rd,Postpaid,71.24,2024-10-14 03:09:39,2024-03-03 17:32:36,0
O00265,C00278,Completed,Express,,66.98,2024-08-19 16:47:00,2024-03-14 09:52:20,0
O00266,C02967,Refunded,,Postpaid,126.01,2024-06-20 16:16:57,2024-06-18 07:16:28,1
O00267,C01694,Pending,Pickup,,136.64,2024-10-10 05:45:00,2024-06-25 19:16:45,0
O00268,C01247,,Express,Postpaid,88.68,2024-12-24 15:34:39,2024-07-12 00:22:21,0
O00269,C03432,,express,,98.52,2024-11-08 23:12:16,2024-03-09 09:46:52,0
O00270,C04700,FAILED,Standard,Prepaid,52.45,2024-04-23 18:08:30,2024-09-20 18:36:16,0
O00271,C02188,completed,,Prepaid,170.28,2024-08-10 17:35:44,2024-12-16 16:10:29,0
