payment_id,order_id,amount,payment_method,payment_gateway,payment_status,currency,exchange_rate,created_at,updated_at
PM00019,O01376,1121.93,card,Stripe,Reversed,USD,1238.58,2024-01-12 04:54:47,2024-07-21 15:14:42
PM00020,O10182,1202.17,Crypto,,pending,KES,1391.72,2024-09-14 19:43:16,2024-11-05 14:13:13
PM00021,O01563,3102.37,CARD,Stripe,Paid,GHS,1418.28,2024-04-29 22:06:20,2024-03-08 14:18:45
PM00022,O11807,2108,Crypto,Paystack,Pending,KES,436.23,2024-10-20 10:12:00,2024-09-19 04:22:05
PM00023,O08981,966.27,crypto,,Pending,USD,1450.6,2024-12-20 13:19:10,2024-11-05 07:09:53
PM00024,O10664,2984.89,PAYPAL,Stripe,paid,,1365.69,2024-11-29 07:06:19,2024-12-27 08:53:04
PM00025,O10034,2554.91,,Flutterwave,failed,NGN,498.64,2024-06-30 01:01:32,2024-09-28 23:52:45
PM00026,O10431,922.24,Paypal,Stripe,PAID,USD,387.38,2024-05-23 18:20:20,2024-06-21 17:53:09
PM00027,O11058,2326.02,Cash,,reversed,NGN,943.89,2024-07-18 19:59:41,2024-03-22 18:13:25
PM00028,O06255,4028.69,Cash,,pending,KES,954.9,2024-02-28 18:01:59,2024-05-01 13:45:34
PM00029,O02698,4122.38,Crypto,,reversed,KES,987.85,2024-05-15 08:46:12,2024-08-30 12:14:17
PM00030,O11111,5981.21,CRYPTO,Flutterwave,Reversed,GHS,1032.19,2024-08-07 12:16:09,2024-01-19 21:38:37
PM00031,O11723,5361.51,,Flutterwave,reversed,KES,519.97,2024-11-19 21:38:11,2024-03-23 03:44:55
PM00032,O11642,6233.91,C@rd,,REVERSED,GHS,963.43,2024-12-17 10:55:13,2024-07-18 09:15:04
PM00033,O10754,2765.94,Paypal,Flutterwave,P@id,GHS,1039.27,2024-03-30 20:10:35,2024-06-27 13:43:35
PM00034,O07779,3824.4,Crypto,,FAILED,GHS,540.24,2024-03-05 17:36:24,2024-07-26 05:48:21
PM00035,O01668,1836.78,Cash,Paystack,reversed,NGN,1372.63,2024-01-06 09:21:14,2024-06-22 06:59:13
PM00036,O11730,2745.7,CRYPTO,,Pending,NGN,1166.63,2024-08-29 16:21:19,2024-12-26 20:32:27
PM00037,O11869,4810.23,P@yp@l,,F@iled,KES,1115.82,2024-12-01 19:29:23,2024-12-28 00:34:22
PM00038,O05825,387.8,Paypal,Stripe,Failed,USD,521.03,2024-02-14 18:53:42,2024-08-23 17:24:30
PM00039,O04432,1596.98,Tr@nsfer,Flutterwave,,KES,744.97,2024-07-19 12:35:00,2024-06-22 18:34:46
PM00040,O00334,6369.08,,Stripe,,,375.82,2024-06-27 15:32:10,2024-12-27 13:08:30
PM00041,O07255,1314.37,Crypto,Stripe,FAILED,USD,834.99,2024-02-23 22:23:25,2024-10-14 16:18:23
PM00042,O06258,3901.81,C@rd,Paystack,PAID,,1210.06,2024-11-07 19:58:40,2024-10-27 22:17:10
PM00043,O02531,3371.05,Cash,Flutterwave,Paid,KES,825.38,2024-02-23 01:31:38,2024-07-26 12:15:25
PM00044,O02866,616.44,Paypal,,Failed,NGN,917.96,2024-10-19 07:42:54,2024-05-09 22:34:48
PM00045,O11901,925.28,Paypal,Paystack,paid,NGN,1173.38,2024-09-29 07:19:27,2024-05-15 15:58:03
PM00046,O06766,1586.93,card,Flutterwave,Reversed,USD,1171.08,2024-07-02 16:28:46,2024-05-29 11:44:13
PM00047,O11545,6376.55,card,Stripe,Reversed,USD,491.25,2024-04-22 07:29:38,2024-09-10 13:10:22
PM00048,O10792,3232.02,Card,Paystack,Pending,NGN,1237.83,2024-09-23 03:41:38,2024-12-31 21:38:54
PM00049,O10996,5511.82,Paypal,Paystack,Failed,USD,698,2024-04-02 06:08:05,2024-07-24 22:36:22
PM00050,O04898,1985.41,,,Pending,NGN,763.3,2024-07-24 12:00:27,2024-08-12 12:31:35
PM00051,O00394,1234.79,Card,Flutterwave,paid,KES,433.7,2024-08-25 11:35:39,2024-07-30 09:49:20
PM00052,O05459,973.19,CASH,Stripe,Failed,,1375.41,2024-12-29 08:14:23,2024-06-25 12:06:25
PM00053,O08276,5112.83,PAYPAL,,REVERSED,GHS,806.41,2024-07-16 21:55:00,2024-08-23 04:46:40
PM00054,O10636,4359.17,Crypto,Flutterwave,Paid,,763.75,2024-08-08 13:18:31,2024-11-03 22:43:35
PM00055,O09682,2084.39,transfer,Paystack,Pending,,772.81,2024-12-30 21:48:51,2024-06-07 10:06:07
PM00056,O11676,1167.66,CARD,Flutterwave,Reversed,KES,790.89,2024-03-22 12:09:08,2024-12-11 19:22:36
PM00057,O10950,2225.58,P@yp@l,Flutterwave,FAILED,NGN,1311.97,2024-02-20 16:27:39,2024-02-18 23:10:50
PM00058,O07645,6171.56,C@sh,Flutterwave,REVERSED,ngn,377.18,2024-07-08 09:59:17,2024-02-01 05:05:50
PM00059,O10056,4596.11,card,,PAID,USD,497.67,2024-08-02 09:21:17,2024-12-10 19:01:52
PM00060,O07338,569.42,Tr@nsfer,Flutterwave,,ghs,1461.67,2024-02-20 10:54:20,2024-11-28 12:50:47
PM00061,O10365,4904.74,CRYPTO,Flutterwave,REVERSED,NGN,1108.72,2024-03-30 09:32:45,2024-02-25 21:46:32
PM00062,O06887,4892.39,Transfer,,F@iled,USD,1265.84,2024-06-02 12:42:21,2024-02-19 21:17:36
PM00063,O03109,1161.11,crypto,Paystack,,KES,1180.06,2024-07-03 19:23:46,2024-03-04 06:01:45
PM00064,O09327,5281.96,TRANSFER,,P@id,NGN,1192.47,2024-10-03 09:03:33,2024-02-08 04:34:11
PM00065,O10253,1077.05,Crypto,Stripe,Pending,,1017.96,2024-04-14 06:04:56,2024-10-02 00:29:07
PM00066,O03676,495.01,Paypal,Stripe,Reversed,GHS,1433.14,2024-10-11 15:23:32,2024-01-27 12:14:38
PM00067,O11892,4122.12,CARD,,PENDING,KES,757.97,2024-12-27 08:36:19,2024-10-25 06:45:07
PM00068,O11265,4961.06,,,paid,USD,1226.84,2024-01-02 10:25:49,2024-10-23 17:06:14
PM00069,O09462,974.86,,Paystack,Failed,,315.54,2024-12-15 15:39:15,2024-10-31 02:30:04
PM00070,O11138,5509.29,Transfer,,Pending,,1092.28,2024-08-15 01:00:28,2024-05-03 12:17:42
PM00071,O04678,6598.2,,Paystack,,NGN,1442.98,2024-08-14 14:43:58,2024-01-26 00:15:48
PM00072,O10077,5804.47,CARD,Paystack,PENDING,NGN,1290.5,2024-11-21 04:42:59,2024-09-22 20:15:55
PM00073,O07539,1898.48,Paypal,Stripe,,NGN,324.95,2024-09-08 12:36:44,2024-03-19 06:19:21
PM00074,O01526,1280.23,Tr@nsfer,Flutterwave,Pending,KES,461.84,2024-07-06 02:47:34,2024-07-31 20:23:50
PM00075,O11734,5295.09,C@sh,Paystack,,GHS,478.81,2024-01-12 05:26:04,2024-08-21 23:08:45
PM00076,O10722,259.13,Cash,,reversed,GHS,568.51,2024-10-08 01:23:25,2024-07-09 22:30:06
PM00077,O09921,5317.85,Tr@nsfer,,,ngn,1331.13,2024-06-26 23:36:06,2024-12-20 04:00:35
PM00078,O09916,1962.68,Crypto,Flutterwave,paid,,1061.83,2024-12-14 08:31:33,2024-10-31 02:05:29
PM00079,O04408,4024.24,cash,Paystack,Pending,USD,1183.29,2024-10-17 11:15:58,2024-09-17 15:08:42
PM00080,O10600,2404.35,P@yp@l,Flutterwave,Paid,ghs,963.75,2024-06-23 15:34:37,2024-04-27 05:58:01
PM00081,O03501,6451.68,Crypto,Stripe,Reversed,KES,1346.59,2024-04-30 02:49:22,2024-06-05 02:05:45
PM00082,O10547,6247.49,PAYPAL,Paystack,Pending,ngn,1293.53,2024-11-13 23:30:02,2024-04-22 13:03:02
PM00083,O09396,6922.58,C@rd,Flutterwave,Reversed,ghs,1181.79,2024-06-26 12:25:57,2024-01-08 23:32:13
PM00084,O08589,874.03,TRANSFER,Stripe,Reversed,,798.92,2024-03-29 02:04:25,2024-07-22 17:42:55
PM00085,O04397,6576.92,C@rd,Stripe,Reversed,ghs,305.99,2024-11-03 03:24:13,2024-08-28 21:09:25
PM00086,O10704,6206.37,TRANSFER,Flutterwave,Reversed,USD,1214.73,2024-03-20 07:44:37,2024-09-19 08:34:43
PM00087,O00318,5962.04,PAYPAL,,pending,USD,909,2024-12-23 07:48:08,2024-07-03 17:38:18
PM00088,O11363,4053.66,Crypto,Flutterwave,Paid,GHS,786.67,2024-02-20 02:55:37,2024-07-13 03:50:12
PM00089,O10981,1589.44,Crypto,Flutterwave,Paid,USD,576.97,2024-11-10 11:48:49,2024-11-15 07:08:45
PM00090,O01852,1847.98,TRANSFER,Flutterwave,Reversed,GHS,661.52,2024-01-25 15:26:30,2024-10-28 13:15:31
PM00091,O10015,5598.11,,Paystack,pending,KES,368.63,2024-01-03 18:41:40,2024-09-27 22:08:10
PM00092,O10627,1447.55,CASH,Paystack,Reversed,,559.63,2024-01-10 10:42:48,2024-07-02 19:26:21
PM00093,O09065,3340.68,Transfer,,REVERSED,KES,331.88,2024-09-08 00:24:41,2024-01-20 09:29:29
PM00094,O01903,5482.34,TRANSFER,,Failed,NGN,1100.55,2024-10-23 18:35:07,2024-10-20 19:13:23
PM00095,O11686,6228.31,,,Pending,,539.12,2024-08-05 06:35:55,2024-08-05 13:18:34
PM00096,O10538,6282.17,,,Pending,NGN,590.94,2024-10-09 16:15:08,2024-10-13 02:47:48
PM00097,O10626,3261.32,Card,Flutterwave,Reversed,NGN,994.63,2024-12-30 02:24:24,2024-09-07 10:51:56
PM00098,O08689,1992.04,CRYPTO,,Paid,NGN,1217.02,2024-01-11 08:19:41,2024-04-19 09:47:59
PM00099,O11097,2496.8,Tr@nsfer,,paid,,1295.81,2024-05-09 10:03:07,2024-07-25 09:48:47
PM00100,O11683,503.98,Crypto,,Pending,,1427.7,2024-08-04 23:07:14,2024-02-16 03:24:10
PM00101,O00286,34.67,Crypto,Stripe,Pending,USD,1441.61,2024-04-06 12:14:46,2024-09-12 01:27:06
PM00102,O01486,897.83,Paypal,Paystack,Reversed,usd,622.57,2024-05-11 17:03:19,2024-09-09 00:32:56
PM00103,O10574,2798.37,,,Failed,GHS,1138.03,2024-02-14 09:35:38,2024-03-18 22:41:17
PM00104,O08112,638.13,C@rd,,,NGN,1453.37,2024-12-22 03:27:18,2024-01-24 13:21:47
PM00105,O01598,1510.36,Transfer,,Paid,KES,944.1,2024-02-24 21:57:09,2024-04-15 13:34:48
PM00106,O02280,6071.15,Card,Paystack,Reversed,GHS,395.89,2024-02-08 06:14:40,2024-01-03 11:12:46
PM00107,O08783,3061.93,Transfer,,pending,USD,1084.96,2024-11-11 01:51:53,2024-02-17 03:39:24
PM00108,O05900,1714.87,Crypto,,,KES,734.51,2024-02-22 18:52:12,2024-08-02 13:54:08
PM00109,O07951,2817.05,,,,GHS,1465.86,2024-03-21 01:34:48,2024-03-30 23:09:01
PM00110,O10001,6435.28,,,,,1145.15,2024-04-08 15:13:54,2024-06-05 14:12:16
PM00111,O02836,6866.64,Tr@nsfer,,F@iled,GHS,1075.25,2024-05-08 21:09:51,2024-07-17 16:58:03
PM00112,O04207,3193.67,Transfer,Stripe,Paid,kes,430.64,2024-02-11 01:00:34,2024-03-30 18:53:12
PM00113,O10337,2414.43,,,failed,USD,914.2,2024-11-02 10:38:14,2024-03-19 01:16:44
PM00114,O10060,2969.14,,Stripe,F@iled,GHS,323.26,2024-11-08 10:05:15,2024-04-08 21:28:42
PM00115,O11336,6691.92,Cash,Paystack,PAID,KES,401,2024-11-25 15:52:16,2024-01-31 18:52:01
PM00116,O10402,1975.54,crypto,Paystack,Reversed,,331.54,2024-05-05 07:36:49,2024-10-24 01:50:52
PM00117,O11776,3307.07,Tr@nsfer,Stripe,Pending,,1492.63,2024-04-26 11:30:13,2024-08-09 16:01:39
PM00118,O11473,1710,C@sh,,F@iled,usd,1377.43,2024-10-31 07:43:00,2024-04-30 07:27:45
PM00119,O03350,3139.51,PAYPAL,Flutterwave,Failed,NGN,628.59,2024-05-03 01:22:00,2024-07-27 08:13:19
PM00120,O03389,3789.23,P@yp@l,Flutterwave,Pending,USD,1235.69,2024-07-13 11:51:51,2024-02-10 05:36:03
PM00121,O06807,1082.81,,,Failed,NGN,901.32,2024-03-01 07:51:02,2024-08-30 12:43:00
PM00122,O11808,3911.2,P@yp@l,,,USD,1291.07,2024-10-24 21:45:49,2024-02-14 17:40:27
PM00123,O06802,1564.98,,Stripe,pending,KES,918.75,2024-07-21 11:21:23,2024-12-21 22:25:04
PM00124,O11732,4492.32,,Flutterwave,failed,GHS,782.92,2024-03-26 07:33:10,2024-03-28 00:40:19
PM00125,O10936,5245.66,paypal,Flutterwave,Pending,,493.51,2024-09-20 01:16:04,2024-09-04 20:09:27
PM00126,O09064,3073.87,Paypal,,Failed,GHS,967.98,2024-03-29 01:23:02,2024-06-14 01:28:38
PM00127,O11153,3795.13,Crypto,,pending,ngn,1401.48,2024-03-26 10:35:54,2024-12-09 00:14:01
PM00128,O10413,3291.32,CASH,,Failed,KES,759.85,2024-04-17 09:42:29,2024-05-24 10:16:56
PM00129,O11250,3715.83,,Paystack,Failed,GHS,1039.02,2024-10-12 11:13:59,2024-09-24 13:51:47
PM00130,O10647,4427.51,Cash,Flutterwave,Pending,GHS,1481.06,2024-09-04 16:56:42,2024-12-26 05:25:42
PM00131,O10546,1052.28,Paypal,,reversed,kes,677.89,2024-12-22 00:48:08,2024-10-27 10:24:03
PM00132,O10330,2634.25,Paypal,Flutterwave,Paid,,587.11,2024-08-09 01:09:43,2024-02-02 14:01:12
PM00133,O04704,6432.03,P@yp@l,,Pending,NGN,1230.77,2024-05-13 13:30:35,2024-06-04 04:00:05
PM00134,O10852,5984.56,Crypto,Paystack,PAID,NGN,650.75,2024-03-28 21:06:38,2024-03-04 23:42:53
PM00135,O10178,3451.1,Crypto,Paystack,Reversed,NGN,965.44,2024-12-08 10:38:01,2024-10-14 08:37:37
PM00136,O11427,330.41,CRYPTO,,Failed,,1454.04,2024-06-10 09:13:31,2024-06-01 16:31:11
PM00137,O10677,5357.85,cash,Paystack,Paid,KES,534.03,2024-03-12 10:44:20,2024-12-20 05:12:39
PM00138,O06236,2075.45,C@rd,Flutterwave,failed,KES,1240.42,2024-09-06 13:50:51,2024-12-23 21:53:43
PM00139,O11310,1823.01,Transfer,,reversed,ghs,1431.51,2024-04-16 10:50:21,2024-05-26 08:47:46
PM00140,O10543,5163.3,CRYPTO,,Failed,NGN,1088.01,2024-10-05 06:29:00,2024-05-02 03:13:51
PM00141,O11819,1170.57,Crypto,,Reversed,USD,1114.51,2024-02-25 20:20:19,2024-12-20 02:48:54
PM00142,O01015,239.94,,Paystack,,KES,657.02,2024-06-26 07:15:29,2024-06-20 03:37:20
PM00143,O06536,4996.1,Paypal,Stripe,FAILED,,629.68,2024-01-14 04:11:50,2024-04-27 23:48:48
PM00144,O10752,253.61,Crypto,Paystack,,,868.45,2024-10-06 18:12:09,2024-10-16 16:50:56
PM00145,O11113,1037.63,CARD,Paystack,,GHS,1043.04,2024-04-19 00:23:30,2024-07-03 18:52:20
PM00146,O10422,6009.59,Transfer,Flutterwave,Pending,GHS,864.54,2024-02-19 04:27:11,2024-02-24 07:55:05
PM00147,O11840,3248.65,Card,Paystack,reversed,USD,308.5,2024-12-21 18:50:58,2024-10-29 10:27:27
PM00148,O11594,6932.4,Card,Stripe,pending,ngn,1340.61,2024-05-10 06:35:16,2024-01-14 10:08:32
PM00149,O11954,3805.84,cash,,,USD,351.1,2024-12-22 23:50:30,2024-08-01 09:43:10
PM00150,O10212,5805.37,Transfer,Stripe,Reversed,KES,1139.13,2024-11-14 16:32:27,2024-09-04 10:32:12
PM00151,O06439,2895.27,crypto,,Failed,NGN,540.52,2024-01-01 12:28:59,2024-02-05 03:04:59
PM00152,O00472,631.58,Paypal,Flutterwave,Pending,,511.9,2024-12-20 15:19:18,2024-06-04 09:07:47
PM00153,O00374,2735.75,CASH,Paystack,reversed,USD,971.44,2024-02-14 19:53:01,2024-11-15 07:17:49
PM00154,O03249,43.33,cash,Stripe,pending,GHS,1303.82,2024-05-07 04:30:46,2024-04-29 23:07:37
PM00155,O01403,815.21,,Flutterwave,Reversed,USD,1068.27,2024-11-04 00:45:50,2024-10-01 10:57:41
PM00156,O09425,763.17,paypal,Stripe,pending,ghs,830.3,2024-01-27 20:43:35,2024-08-20 14:41:54
PM00157,O07902,3882.09,C@rd,Paystack,Pending,,1072.85,2024-12-20 20:57:00,2024-12-29 17:51:29
PM00158,O02141,3017.67,Paypal,Stripe,Reversed,ngn,1268.1,2024-12-26 14:50:43,2024-07-05 18:05:05
PM00159,O07356,1045.83,Card,Stripe,failed,,638.78,2024-07-20 02:14:24,2024-11-07 13:03:32
PM00160,O11979,5787.26,cash,,Pending,KES,775.86,2024-08-15 11:24:09,2024-10-23 20:57:34
PM00161,O10607,6514.8,CARD,Stripe,FAILED,USD,1087.3,2024-04-29 04:18:39,2024-07-05 18:38:30
PM00162,O09446,3274.7,CARD,Paystack,paid,KES,1394,2024-11-08 18:13:54,2024-12-14 19:48:04
PM00163,O00454,6064.28,Cash,Flutterwave,Pending,,1294.53,2024-01-06 01:43:30,2024-03-08 16:10:31
PM00164,O05398,293.82,CRYPTO,Flutterwave,,NGN,372.31,2024-08-06 21:22:42,2024-01-27 08:51:57
PM00165,O10330,1710.2,Transfer,Paystack,Pending,USD,394.56,2024-09-13 11:15:20,2024-12-07 10:59:41
PM00166,O05867,4510.02,Paypal,,Pending,USD,1225.02,2024-08-26 03:02:11,2024-08-18 13:07:46
PM00167,O05095,6987.57,Crypto,Flutterwave,Pending,GHS,917.06,2024-07-28 13:10:37,2024-06-11 09:34:15
PM00168,O11882,2284.71,crypto,Flutterwave,Pending,,560.89,2024-12-26 16:48:38,2024-04-18 06:48:00
PM00169,O07272,6923.88,,Stripe,Paid,GHS,1262.66,2024-10-30 23:02:55,2024-10-06 13:09:28
PM00170,O07439,1417.29,,,Reversed,USD,376.17,2024-03-22 16:27:15,2024-07-23 05:55:59
PM00171,O10937,1305.15,Cash,Paystack,failed,KES,1455.28,2024-03-27 11:13:29,2024-07-02 18:29:26
PM00172,O10959,6642.82,Paypal,Paystack,Failed,KES,516.85,2024-12-06 15:46:43,2024-05-20 13:33:51
PM00173,O10166,1753.61,CRYPTO,,Reversed,KES,1337.33,2024-03-12 06:12:27,2024-02-12 08:43:51
PM00174,O02478,6362.08,Transfer,Stripe,Reversed,GHS,572.29,2024-08-22 09:24:54,2024-11-14 04:02:06
PM00175,O10471,1465.61,paypal,Flutterwave,Pending,GHS,908.25,2024-07-19 21:59:06,2024-04-16 02:08:43
PM00176,O01469,1574.71,Crypto,,Paid,ghs,626.45,2024-02-05 20:12:52,2024-08-22 02:28:54
PM00177,O00293,2873.95,CRYPTO,,F@iled,NGN,1485.88,2024-06-10 21:56:26,2024-07-19 22:00:13
PM00178,O00854,3756.73,Tr@nsfer,Paystack,paid,USD,1351.49,2024-08-10 15:18:51,2024-10-02 13:42:48
PM00179,O07879,3345.48,crypto,Stripe,Paid,KES,1432.79,2024-05-22 14:16:20,2024-09-07 17:59:09
PM00180,O06841,3116.29,Transfer,,Pending,usd,776.02,2024-04-17 01:26:39,2024-03-21 21:19:06
PM00181,O03193,2997.24,Card,,pending,KES,951.85,2024-11-09 03:03:00,2024-04-24 09:26:52
PM00182,O11156,3612.6,,,Paid,NGN,776.07,2024-10-03 19:31:09,2024-05-17 11:04:30
PM00183,O11244,6975.73,C@sh,Flutterwave,Pending,kes,550.73,2024-12-17 11:51:52,2024-06-29 11:53:03
PM00184,O01729,3047.1,Tr@nsfer,Paystack,Paid,KES,356.52,2024-07-07 17:35:09,2024-12-25 09:22:59
PM00185,O01800,2664.81,Transfer,Stripe,Pending,NGN,835.5,2024-06-08 06:50:01,2024-11-28 05:37:06
PM00186,O04693,2871.99,C@sh,Paystack,PENDING,KES,1169.81,2024-10-07 20:12:50,2024-05-30 17:21:06
PM00187,O10546,4746.61,Crypto,,failed,KES,484.7,2024-06-08 22:15:05,2024-10-11 07:25:44
PM00188,O10670,1078.97,,Paystack,Pending,GHS,395.33,2024-12-23 12:53:17,2024-12-06 22:07:05
PM00189,O02191,2115.72,CARD,,Pending,,797.11,2024-10-22 08:05:28,2024-01-06 09:31:23
PM00190,O02613,6165.56,transfer,,Reversed,NGN,1462.68,2024-06-05 01:46:55,2024-04-19 13:03:02
PM00191,O04335,1886.32,Tr@nsfer,Flutterwave,Pending,KES,402.37,2024-12-03 02:04:21,2024-06-14 12:27:16
PM00192,O09715,4323.12,CARD,,Paid,USD,1248.39,2024-04-12 18:19:30,2024-05-28 09:51:08
PM00193,O11446,6295.65,Paypal,,PAID,ghs,811.58,2024-10-19 15:43:05,2024-08-31 23:55:16
PM00194,O09788,4841.54,TRANSFER,Flutterwave,Failed,USD,634.93,2024-01-07 08:53:16,2024-03-22 00:46:59
PM00195,O10963,5506.54,CASH,,,GHS,1483.69,2024-08-29 12:11:55,2024-09-22 00:42:21
PM00196,O11730,2193.73,Crypto,,PAID,kes,1301.63,2024-10-06 07:45:17,2024-05-09 07:42:09
PM00197,O00348,1454.48,Transfer,,failed,USD,1419.1,2024-07-12 07:36:01,2024-01-21 10:49:40
PM00198,O04852,146,crypto,,,usd,323.08,2024-07-17 20:14:02,2024-03-23 02:52:02
PM00199,O02516,1219.12,CASH,,Failed,KES,957.47,2024-04-16 01:05:16,2024-12-01 07:09:06
PM00200,O01387,110.33,Transfer,Stripe,,GHS,864.48,2024-06-27 20:43:54,2024-10-13 21:38:17
PM00201,O01854,4036.04,CARD,Flutterwave,paid,KES,1100.02,2024-06-19 01:08:08,2024-07-19 02:19:25
PM00202,O09542,6620.37,Transfer,Stripe,Paid,KES,1214.36,2024-09-27 06:38:52,2024-03-13 09:31:23
PM00203,O11466,5014.34,cash,Flutterwave,failed,GHS,1073.27,2024-06-10 19:26:47,2024-02-02 19:08:43
PM00204,O01109,1234.9,Transfer,,,GHS,1043.15,2024-09-16 15:24:00,2024-11-10 17:53:32
PM00205,O11452,1908.63,Card,,pending,ngn,1047.72,2024-10-26 10:44:04,2024-04-19 15:32:37
PM00206,O05706,681.15,crypto,,,KES,332.73,2024-06-03 16:05:51,2024-01-30 14:56:51
PM00207,O05907,6593.23,Paypal,,Reversed,ngn,1473.74,2024-11-14 22:34:31,2024-06-27 00:52:47
PM00208,O10870,4989.67,cash,,REVERSED,NGN,692.53,2024-10-20 02:46:23,2024-06-07 20:16:40
PM00209,O11393,6425.47,Card,Flutterwave,Reversed,KES,432.97,2024-07-12 03:05:26,2024-07-15 15:58:16
PM00210,O10519,1259.65,Card,Stripe,Failed,,980.55,2024-05-03 02:54:58,2024-09-07 09:52:04
PM00211,O09629,6607.72,C@rd,Stripe,pending,NGN,1112.11,2024-10-06 07:00:33,2024-03-13 21:45:12
PM00212,O10800,4866.6,cash,Stripe,pending,GHS,900.48,2024-11-27 18:20:18,2024-07-09 06:58:56
PM00213,O11324,2181.95,Transfer,Stripe,Paid,USD,393.87,2024-01-15 09:15:49,2024-02-15 05:01:22
PM00214,O07988,4913.54,Paypal,Flutterwave,P@id,USD,514.87,2024-10-07 18:48:09,2024-02-15 18:57:52
PM00215,O10291,1507.85,TRANSFER,,Failed,ngn,415.99,2024-03-12 03:30:40,2024-07-13 02:21:57
PM00216,O11702,6959.99,Tr@nsfer,Flutterwave,Reversed,NGN,1272.76,2024-05-12 14:12:51,2024-12-27 07:57:42
PM00217,O09679,3204.74,card,Stripe,reversed,KES,1419.4,2024-08-19 11:38:26,2024-03-15 01:48:27
PM00218,O11439,3153.91,Paypal,Flutterwave,Failed,,1282.69,2024-11-10 11:36:51,2024-11-09 23:08:54
PM00219,O10196,1504.25,transfer,,Reversed,ngn,700.21,2024-09-27 05:11:15,2024-01-14 12:30:52
PM00220,O10070,548.58,Crypto,,Paid,NGN,1190.3,2024-05-21 14:24:58,2024-10-28 11:08:49
PM00221,O02070,5803.42,Transfer,,Reversed,usd,1315.83,2024-10-09 01:05:05,2024-10-21 23:58:51
PM00222,O05747,4800.77,CARD,,Reversed,GHS,819.72,2024-01-11 02:18:41,2024-05-21 20:45:54
PM00223,O00903,2360.01,C@sh,Stripe,Pending,NGN,451.92,2024-12-11 22:33:00,2024-04-19 04:03:28
PM00224,O05574,3248.38,Crypto,Flutterwave,,KES,767.72,2024-05-04 01:40:25,2024-04-27 06:36:09
PM00225,O08112,2524.38,Tr@nsfer,,F@iled,,920.55,2024-10-29 14:58:09,2024-01-18 18:10:01
PM00226,O10925,1311.24,,,Pending,,1192.63,2024-05-12 20:55:16,2024-04-21 06:21:55
PM00227,O11692,2508.97,CARD,Stripe,Paid,usd,1014,2024-12-17 17:06:20,2024-10-03 15:09:24
PM00228,O00982,1099.32,card,Stripe,Reversed,USD,763.73,2024-07-02 10:09:32,2024-01-21 22:03:05
PM00229,O11124,6345.89,Cash,Paystack,,NGN,1155.08,2024-11-07 10:30:08,2024-03-15 20:05:53
PM00230,O11172,4968.9,Cash,Paystack,Paid,ngn,1232.63,2024-08-05 00:43:32,2024-02-27 11:42:04
PM00231,O05418,3749.06,transfer,Flutterwave,Paid,ghs,1052.37,2024-04-09 11:34:35,2024-05-13 14:32:45
PM00232,O03035,4931.49,Transfer,,F@iled,USD,546.33,2024-09-17 05:29:11,2024-03-26 11:24:11
PM00233,O10946,4189.27,Paypal,Paystack,,KES,1499.7,2024-07-18 12:37:02,2024-03-21 21:22:34
