order_item_id,order_id,product_id,quantity,unit_price,tax,discount_amount,fulfilled_by,created_at,updated_at
OI00017,O02981,P01706,3,3238.27,74.44,3.04,vendor,2024-09-02 14:20:12,2024-03-02 07:34:28
OI00018,O11704,P04824,1,3421.62,392.73,301.85,WAREHOUSE,2024-11-18 20:23:58,2024-06-02 09:30:24
OI00019,O08457,P02094,,3201.16,21.56,6.88,Vendor,2024-12-13 12:35:59,2024-03-04 14:37:48
OI00020,O11879,P02876,2,2038.88,220.6,367.2,Warehouse,2024-12-03 11:52:52,2024-09-13 15:20:20
OI00021,O10846,P04158,3,858.17,443.76,434.86,3pl,2024-01-20 09:13:45,2024-10-05 20:03:10
OI00022,O07778,P02238,1,992.03,89.97,149.88,Vendor,2024-07-05 09:38:45,2024-06-29 02:23:24
OI00023,O00138,P02267,2,907.04,493.98,418.38,Vendor,2024-07-17 10:37:13,2024-08-16 11:28:43
OI00024,O04643,P03702,1,1788.82,393.21,184.05,warehouse,2024-03-15 11:22:15,2024-12-12 08:13:57
OI00025,O02944,P03539,1,1580.12,247.93,149.16,Warehouse,2024-05-30 06:51:06,2024-04-13 21:48:22
OI00026,O10753,P03613,1,749.32,101.75,225.57,W@rehouse,2024-08-27 14:04:45,2024-01-03 03:54:58
OI00027,O08640,P00041,1,1690.79,141,65.89,Warehouse,2024-05-16 23:19:36,2024-10-19 07:56:52
OI00028,O01700,P03570,0,3273.21,78.38,443.59,3PL,2024-11-13 18:09:14,2024-09-20 21:59:13
OI00029,O01710,P02630,1,4785.77,225.88,54.56,3pl,2024-08-21 00:06:21,2024-08-26 04:16:54
OI00030,O08622,P01554,2,3387.71,492.79,127.51,Warehouse,2024-05-10 09:24:42,2024-03-14 00:54:14
OI00031,O11222,P02819,1,3496.22,235.76,73.53,vendor,2024-11-06 23:00:24,2024-02-14 22:45:05
OI00032,O06155,P03416,1,922.94,442.47,15.87,WAREHOUSE,2024-08-28 03:16:54,2024-11-16 01:41:28
OI00033,O00236,P00889,,1563.67,202.13,5.22,VENDOR,2024-08-01 06:21:31,2024-03-03 20:53:34
OI00034,O04943,P01109,0,3481.18,363.85,381.6,Warehouse,2024-09-19 13:14:08,2024-07-27 20:58:46
OI00035,O02638,P02497,1,3413.7,123.92,149.11,warehouse,2024-05-30 07:34:03,2024-03-10 04:41:26
OI00036,O10975,P02440,0,580.46,132.41,321.31,3PL,2024-05-27 18:56:49,2024-09-12 00:48:58
OI00037,O04988,P02976,,517.22,2.66,93.4,3PL,2024-07-26 05:04:31,2024-03-21 08:17:51
OI00038,O07926,P01989,1,4137.27,2.78,211.19,Vendor,2024-12-26 19:11:14,2024-07-13 12:05:59
OI00039,O11333,P01357,,2059.15,137.63,207.26,3pl,2024-12-05 11:05:18,2024-06-01 05:46:40
OI00040,O07286,P01661,1,3663.22,360.63,346.39,,2024-09-04 03:50:47,2024-04-03 06:29:42
OI00041,O06219,P04210,3,3867.34,28.48,246.85,3PL,2024-05-02 12:59:27,2024-04-13 18:54:48
OI00042,O02127,P03011,2,2984.46,145.03,321.93,3PL,2024-12-15 20:07:49,2024-03-31 05:48:58
OI00043,O06391,P02244,0,1973.67,485.39,238.9,3PL,2024-04-10 22:04:04,2024-03-15 20:14:12
OI00044,O06732,P04170,,942.68,25.55,194.67,vendor,2024-09-27 20:50:09,2024-12-30 10:04:10
OI00045,O06359,P01857,3,2850.57,270.88,452.58,warehouse,2024-12-02 17:31:47,2024-01-04 22:35:13
OI00046,O11477,P04916,2,2760,430.05,60.46,VENDOR,2024-04-27 00:24:35,2024-04-23 23:24:23
OI00047,O10615,P02824,1,47.61,494.15,0.19,3PL,2024-04-21 09:16:26,2024-11-26 21:07:33
OI00048,O07509,P01917,2,942.35,101.54,94.88,Vendor,2024-05-24 09:59:41,2024-11-27 21:19:24
OI00049,O00450,P02226,2,4389.53,52.61,20.09,Vendor,2024-09-26 02:18:30,2024-04-29 15:42:16
OI00050,O03445,P03608,,1778.99,45.59,480.66,3PL,2024-06-17 01:03:13,2024-03-25 16:19:58
OI00051,O11647,P02454,1,2312.2,284.72,248.31,Vendor,2024-05-30 18:03:16,2024-12-02 16:50:40
OI00052,O06492,P02500,2,1714.09,155.27,133.55,Vendor,2024-01-21 11:18:11,2024-07-25 18:10:33
OI00053,O07211,P03774,2,1060.86,55.3,325.57,3PL,2024-12-25 11:13:25,2024-07-13 09:43:56
OI00054,O05986,P01395,2,1189.04,364.43,284.46,3PL,2024-02-09 13:17:05,2024-10-04 12:29:20
OI00055,O10322,P01819,3,2315.15,176.45,20.82,,2024-03-06 17:16:04,2024-10-10 20:20:23
OI00056,O03335,P03790,,3999.13,469.26,242.82,Warehouse,2024-11-16 09:20:03,2024-11-08 10:40:31
OI00057,O10232,P01409,1,4775.63,217.25,246.54,,2024-05-16 10:58:24,2024-11-27 22:57:26
OI00058,O00402,P02408,2,2647.86,416.02,129.78,Warehouse,2024-09-08 06:45:22,2024-06-20 22:14:32
OI00059,O05705,P03304,1,3798.96,87.27,9.97,,2024-02-14 00:28:59,2024-07-03 05:00:54
OI00060,O11341,P00218,,1204.25,447.94,251.58,Vendor,2024-05-07 12:21:33,2024-04-15 06:52:42
OI00061,O03901,P03887,2,71.06,438.88,272.87,Vendor,2024-01-18 20:24:44,2024-03-14 02:04:13
OI00062,O01310,P02284,1,2926.2,34.25,114.91,vendor,2024-06-16 20:13:53,2024-01-26 12:42:51
OI00063,O01228,P04851,2,540.61,147.68,160.91,warehouse,2024-07-19 08:31:20,2024-06-11 09:55:02
OI00064,O02752,P01649,0,3532.14,47.1,338.63,,2024-10-20 22:25:12,2024-10-19 20:38:24
OI00065,O09570,P04213,1,1374.47,388.71,403.7,,2024-07-08 04:18:23,2024-12-18 14:29:17
OI00066,O11457,P00224,2,3877.22,9.93,383.59,,2024-05-13 03:18:32,2024-01-03 06:46:37
OI00067,O03193,P00232,2,2200.44,307.38,343.11,3PL,2024-06-21 09:59:04,2024-09-03 17:15:22
OI00068,O11823,P03002,,400.07,236.2,15.06,Warehouse,2024-01-16 20:32:55,2024-07-05 11:42:14
OI00069,O10273,P03460,2,78.77,25.37,146.85,,2024-10-22 12:21:32,2024-08-18 06:23:58
OI00070,O11546,P03569,1,1829.59,114.01,162.61,3PL,2024-05-09 08:02:53,2024-02-16 04:15:27
OI00071,O09189,P04188,1,2116.03,223.98,106.72,,2024-12-06 21:50:17,2024-07-16 02:25:59
OI00072,O04023,P00566,1,2769.68,421.84,369.12,Vendor,2024-08-16 14:48:47,2024-02-15 00:50:23
OI00073,O11073,P02310,2,4974.7,414.8,244.79,Vendor,2024-05-09 05:19:16,2024-10-29 16:42:49
OI00074,O11354,P03009,,4205.91,468.68,89.31,Vendor,2024-02-15 09:32:51,2024-09-10 07:57:47
OI00075,O09890,P03707,2,4942.08,284.54,350.81,Vendor,2024-02-04 23:38:59,2024-03-18 04:16:53
OI00076,O01585,P03517,,626.82,214.29,12.35,3PL,2024-12-29 23:14:50,2024-01-19 00:47:54
OI00077,O11141,P01737,2,2814.4,95.1,99.26,VENDOR,2024-04-20 14:07:31,2024-12-10 17:27:35
OI00078,O06181,P00246,0,780.58,19.32,204.48,Warehouse,2024-06-12 05:33:25,2024-06-27 13:15:35
OI00079,O05019,P01752,,3883.25,52.58,360.35,Vendor,2024-02-18 13:23:04,2024-12-25 06:04:08
OI00080,O11296,P02453,1,2565.36,86.89,427.97,Vendor,2024-01-29 11:18:32,2024-11-21 06:44:42
OI00081,O08325,P03627,1,2665.22,410.4,236.54,,2024-06-03 03:54:47,2024-08-03 05:28:11
OI00082,O04046,P04350,1,98.38,426.56,341.02,WAREHOUSE,2024-02-28 17:37:06,2024-11-03 01:50:40
OI00083,O11670,P01091,1,4911.88,30.86,297.71,3PL,2024-07-21 22:41:05,2024-08-10 09:30:02
OI00084,O10116,P03495,3,2398.07,241.34,141.75,Warehouse,2024-09-20 01:37:34,2024-04-01 03:39:45
OI00085,O10397,P00367,3,3076.05,422.21,382.89,VENDOR,2024-03-19 21:42:28,2024-02-25 00:25:19
OI00086,O05024,P03676,2,3391.88,292.25,473.71,vendor,2024-06-13 15:16:31,2024-11-11 00:27:17
OI00087,O10973,P02934,,3745.35,244.05,6.43,,2024-09-04 05:38:36,2024-07-02 17:49:46
OI00088,O10603,P01484,1,2435.84,461.99,138.38,3PL,2024-11-27 08:10:34,2024-04-21 21:46:17
OI00089,O00614,P03087,,1697.45,27.13,290.38,3pl,2024-01-06 19:06:02,2024-12-19 02:47:30
OI00090,O11968,P04644,2,2176.29,73.91,63.7,W@rehouse,2024-04-23 09:17:01,2024-04-17 02:16:26
OI00091,O11607,P01628,2,3517.08,53.53,499.11,W@rehouse,2024-04-19 18:27:48,2024-07-12 08:55:19
OI00092,O11399,P02419,2,936.65,216.85,129.14,W@rehouse,2024-02-14 20:48:48,2024-09-06 13:24:35
OI00093,O11673,P01563,3,1350.04,244.89,178.33,,2024-10-13 22:37:52,2024-07-15 07:29:07
OI00094,O10905,P04127,3,2644.56,129.18,174.08,3PL,2024-03-02 17:19:07,2024-11-05 17:06:50
OI00095,O06107,P03870,2,3956.41,401.61,133.78,warehouse,2024-08-06 12:51:12,2024-04-22 02:19:00
OI00096,O07797,P01647,,3739.94,296.65,272.59,3PL,2024-05-19 01:37:20,2024-10-08 15:10:58
OI00097,O10219,P02152,1,2386.81,151.88,80.61,vendor,2024-05-19 02:39:23,2024-04-20 21:10:07
OI00098,O06043,P03055,0,4007.62,464.82,179.09,Warehouse,2024-02-17 16:25:19,2024-09-13 19:14:33
OI00099,O09826,P01780,3,3451.89,316,479.71,warehouse,2024-12-15 02:35:43,2024-09-14 11:00:41
OI00100,O08468,P04352,2,3447.85,175.97,180.73,warehouse,2024-02-29 14:58:38,2024-05-30 09:44:22
OI00101,O03174,P00712,2,3930.58,287.7,54.1,Warehouse,2024-03-17 14:51:51,2024-11-13 23:17:37
OI00102,O10492,P00131,2,45.12,265.38,467.89,VENDOR,2024-10-24 09:08:44,2024-11-09 17:02:51
OI00103,O11743,P01032,,4691.48,483.06,267.26,3PL,2024-02-02 01:44:07,2024-10-08 07:21:06
OI00104,O04424,P01734,1,4621.53,378.77,191.09,Warehouse,2024-06-14 00:38:02,2024-05-10 00:22:04
OI00105,O06275,P00558,2,2273.56,9.22,428.78,Vendor,2024-05-25 15:19:02,2024-02-07 01:01:33
OI00106,O06264,P00128,2,3269.85,96.83,450.08,vendor,2024-06-29 04:13:10,2024-02-16 23:33:17
OI00107,O11571,P03825,1,127.87,126.3,176.19,3pl,2024-02-11 01:20:17,2024-01-18 20:46:18
OI00108,O07138,P04423,,3792.25,348.82,392.24,3pl,2024-12-28 06:32:58,2024-01-04 16:24:20
OI00109,O11925,P00609,1,3842.72,160.79,31.82,,2024-05-20 09:02:00,2024-08-08 14:25:55
OI00110,O05018,P02016,1,4015.31,51.03,69.66,W@rehouse,2024-03-02 02:48:51,2024-05-13 14:11:45
OI00111,O04429,P02367,,2619.52,125.48,323.73,Warehouse,2024-02-18 00:27:01,2024-10-21 15:06:02
OI00112,O07850,P01413,1,2124.33,251,436.44,Vendor,2024-08-01 22:18:53,2024-07-02 22:26:44
OI00113,O11131,P03858,2,2180.46,416.34,113.04,,2024-01-26 08:48:36,2024-07-27 23:59:51
OI00114,O06534,P04758,,4570.35,33.63,339.52,vendor,2024-08-30 06:46:46,2024-08-20 14:31:21
OI00115,O07110,P01920,1,558.5,215.82,304.61,warehouse,2024-08-04 12:33:18,2024-01-29 10:16:47
OI00116,O11008,P01007,,2281.68,488.42,327.46,WAREHOUSE,2024-08-03 11:28:27,2024-05-23 03:13:09
OI00117,O06985,P03525,1,1633.91,482.84,360.28,VENDOR,2024-02-23 15:43:46,2024-02-02 12:42:14
OI00118,O08421,P02522,0,4188.69,127.98,203.01,Vendor,2024-05-31 16:43:42,2024-08-23 02:59:55
OI00119,O10642,P02284,3,1748.44,115.98,82.78,3PL,2024-09-15 15:58:12,2024-02-21 04:25:25
OI00120,O08660,P03699,2,1917.94,375.18,45.87,Warehouse,2024-07-13 08:23:37,2024-02-04 05:31:05
OI00121,O00848,P02115,3,2779.65,442.79,193.57,3PL,2024-05-24 00:16:37,2024-04-22 15:20:15
OI00122,O11228,P01672,2,1188.82,362.77,424.99,,2024-02-21 11:47:43,2024-03-06 07:22:36
OI00123,O10665,P01926,3,3620.07,96.97,460.01,warehouse,2024-08-14 01:59:17,2024-06-24 00:12:12
OI00124,O06849,P00989,1,911.89,372.49,225.01,,2024-11-12 01:02:41,2024-01-31 14:52:43
OI00125,O03414,P02274,1,1915.33,233.85,93.24,3PL,2024-06-29 16:10:15,2024-01-25 03:20:43
OI00126,O10891,P00532,1,3492.7,116.39,341.76,WAREHOUSE,2024-02-11 22:21:00,2024-09-10 11:22:45
OI00127,O10347,P01976,0,1981.19,15.98,155.82,3PL,2024-03-06 06:35:46,2024-11-28 12:24:25
OI00128,O04776,P04417,3,514.84,418.42,198.38,vendor,2024-08-01 01:31:15,2024-02-27 14:33:43
OI00129,O10620,P00801,1,2595.55,121.63,82.4,,2024-10-27 00:45:22,2024-02-02 05:13:54
OI00130,O10773,P01822,1,3019.46,172.57,148.78,3PL,2024-02-29 13:45:32,2024-04-24 15:39:25
OI00131,O11089,P00452,3,1258.02,64.49,118.95,,2024-02-22 11:47:58,2024-08-25 22:21:22
OI00132,O06087,P02853,2,1404.02,397.8,388.32,3PL,2024-12-16 15:45:28,2024-02-02 17:57:22
OI00133,O01334,P03079,1,1679.76,310.37,409.22,3PL,2024-07-29 23:50:36,2024-10-10 02:43:23
OI00134,O11821,P03681,3,2104.99,190.84,132.58,,2024-03-13 00:16:28,2024-08-05 10:42:26
OI00135,O00340,P01684,3,4191.34,157.65,269.96,,2024-09-06 04:51:08,2024-10-22 10:31:27
OI00136,O08310,P02568,3,4902.58,201.66,353.02,Vendor,2024-08-03 06:29:10,2024-12-23 02:37:15
OI00137,O10034,P01891,1,3915.6,178.17,39.84,WAREHOUSE,2024-07-30 00:37:56,2024-06-16 23:15:46
OI00138,O10487,P01352,3,3986.05,134.45,488.36,Warehouse,2024-03-09 08:47:35,2024-04-02 19:52:34
OI00139,O00673,P02087,3,4729.58,13.88,484.71,Warehouse,2024-06-26 19:23:05,2024-08-17 09:58:13
OI00140,O02312,P02029,0,704.56,389.69,379.13,Warehouse,2024-03-15 08:24:43,2024-12-13 15:15:56
OI00141,O10854,P01975,2,4594.11,145.49,101.27,Vendor,2024-11-30 17:56:44,2024-07-22 06:50:09
OI00142,O09884,P03238,3,1849.48,421.58,57.5,Vendor,2024-05-02 09:13:28,2024-10-18 17:16:24
OI00143,O04113,P03177,0,1132.03,144.88,416.51,Vendor,2024-10-07 09:33:24,2024-07-27 11:47:57
OI00144,O10105,P02441,1,3112.18,382.35,219.67,WAREHOUSE,2024-05-07 08:42:50,2024-07-30 11:58:39
OI00145,O11195,P02713,2,4400,481.11,205.44,vendor,2024-08-19 22:13:27,2024-11-10 22:30:12
OI00146,O11127,P02025,2,992.17,452.67,342.58,warehouse,2024-12-14 05:09:36,2024-02-06 14:23:11
OI00147,O11245,P04237,1,308.39,117.15,381.13,3PL,2024-04-16 02:15:23,2024-07-11 07:37:42
OI00148,O10091,P02718,0,3281.76,76.84,439.83,Warehouse,2024-10-08 05:54:50,2024-12-07 23:28:48
OI00149,O06639,P01865,,2044.88,257.55,172.97,,2024-05-28 14:34:38,2024-06-22 01:44:22
OI00150,O09032,P00107,3,1065.89,63.47,28.02,,2024-05-16 05:30:33,2024-11-24 13:07:25
OI00151,O01735,P04061,3,2636.75,336.6,157.18,3PL,2024-12-18 06:20:51,2024-12-25 14:16:37
OI00152,O10461,P01067,3,4697.67,437.87,218.33,Warehouse,2024-09-27 14:17:50,2024-09-20 19:48:39
OI00153,O02521,P02539,,2674.22,231.4,388.76,3PL,2024-04-09 09:35:51,2024-04-14 14:14:30
OI00154,O11939,P01315,,2841.14,319.38,26.98,VENDOR,2024-11-17 01:36:30,2024-07-08 19:06:56
OI00155,O10519,P03706,0,4294.26,273.29,260.66,Warehouse,2024-06-18 00:51:31,2024-04-17 08:34:48
OI00156,O11688,P01550,2,835.18,492.42,489.96,3PL,2024-12-23 03:25:02,2024-04-05 13:06:41
OI00157,O10675,P00569,1,522.41,336.36,358.03,warehouse,2024-05-12 17:54:10,2024-06-02 22:58:51
OI00158,O09561,P01902,,2686.77,81.59,311.6,vendor,2024-05-12 04:40:15,2024-07-19 03:22:57
OI00159,O02513,P03820,3,729.37,129.02,63.52,Warehouse,2024-10-17 05:10:44,2024-09-11 16:02:04
OI00160,O03394,P02393,,545.35,248.38,157.59,WAREHOUSE,2024-01-19 18:24:34,2024-12-09 17:05:13
OI00161,O06261,P02998,3,3784.93,322.28,448.43,W@rehouse,2024-10-02 01:27:41,2024-10-20 05:45:48
OI00162,O06363,P04178,1,2417.97,135.86,304.22,3pl,2024-06-24 01:34:50,2024-06-22 22:49:50
OI00163,O00456,P04530,,4356.93,397.34,144.33,Warehouse,2024-07-21 02:09:54,2024-07-26 06:49:12
OI00164,O10591,P04107,3,1247.46,395.04,278.97,,2024-05-13 17:14:12,2024-10-02 17:46:37
OI00165,O08467,P04031,1,3670.57,325.49,269.57,Vendor,2024-03-14 08:53:27,2024-09-27 20:44:49
OI00166,O00569,P04781,2,639.35,58.6,141.81,Warehouse,2024-07-25 16:24:30,2024-05-02 11:56:43
OI00167,O09036,P04217,2,4856.74,221.65,326.41,,2024-07-26 09:20:11,2024-11-30 21:32:03
OI00168,O10288,P04813,3,3220.94,274.98,317.87,VENDOR,2024-10-04 19:16:11,2024-09-29 23:48:41
OI00169,O11331,P02637,2,197.17,482.02,97.55,Warehouse,2024-05-14 19:55:03,2024-07-25 20:51:55
OI00170,O11298,P04881,1,4607.52,213.78,190.67,Warehouse,2024-08-28 22:38:17,2024-07-17 01:40:42
OI00171,O10531,P02231,,4398.48,131.47,75.64,,2024-09-11 16:57:43,2024-10-11 06:35:59
OI00172,O10921,P00814,0,2304.08,150.7,364.25,W@rehouse,2024-05-13 16:09:21,2024-06-22 00:20:27
OI00173,O10747,P03276,1,4536.54,246.39,51.26,Warehouse,2024-01-18 11:53:35,2024-07-19 02:40:41
OI00174,O03955,P01322,2,1133.95,25.67,266.52,3PL,2024-12-06 13:18:42,2024-12-21 04:39:14
OI00175,O06100,P02284,0,2132.71,402.5,85.11,3PL,2024-12-10 09:37:29,2024-01-13 03:08:35
OI00176,O10024,P00391,1,3202.92,160.74,111.91,3pl,2024-03-21 15:43:28,2024-01-27 02:33:45
OI00177,O01064,P00335,1,1787.67,21.32,248.32,Warehouse,2024-12-02 07:59:14,2024-02-03 06:44:54
OI00178,O10738,P01231,2,2575.88,426.84,79.07,Warehouse,2024-09-09 13:27:51,2024-11-27 04:54:56
OI00179,O09065,P01575,1,1064.04,376.25,334.25,Vendor,2024-08-16 03:48:46,2024-05-27 06:31:38
OI00180,O01788,P03385,1,4625.65,237.75,141.51,3pl,2024-07-15 08:30:20,2024-10-05 14:53:44
OI00181,O08066,P00427,,3201.15,65.45,132.21,,2024-08-01 16:27:21,2024-08-19 15:47:12
OI00182,O00880,P02871,,3325.89,245.83,108.73,3PL,2024-12-06 03:48:35,2024-08-30 22:08:16
OI00183,O10414,P00596,0,158.95,331.69,441.43,Warehouse,2024-04-15 17:50:02,2024-09-10 17:15:06
OI00184,O01517,P01716,1,2909.18,227,349.8,Vendor,2024-05-14 05:27:39,2024-06-28 04:18:26
OI00185,O09697,P04240,3,4971.47,250.48,305.61,3PL,2024-05-03 06:33:31,2024-02-25 11:00:25
OI00186,O06055,P00394,,826.06,219.41,93.63,3PL,2024-09-10 10:33:15,2024-03-16 22:54:43
OI00187,O11418,P03712,0,918.37,102.74,100.33,3PL,2024-03-15 00:11:31,2024-10-02 15:05:13
OI00188,O00050,P02859,1,2019.85,126.89,488.75,3PL,2024-09-21 20:48:38,2024-05-09 11:58:05
OI00189,O11371,P02910,1,3128.84,20.29,118.36,WAREHOUSE,2024-09-30 09:09:30,2024-11-20 08:38:56
OI00190,O11921,P01539,1,4661.05,372.75,426.23,Warehouse,2024-09-02 03:11:52,2024-05-19 18:59:54
OI00191,O10034,P00570,2,3439.43,2.46,287.63,vendor,2024-11-18 06:07:31,2024-03-14 12:21:19
OI00192,O05835,P00680,1,264.84,21.8,406.38,Warehouse,2024-11-16 18:20:18,2024-05-14 11:17:01
OI00193,O05512,P02070,,3433.32,294.5,179.77,3pl,2024-08-02 01:08:12,2024-11-26 16:17:01
OI00194,O02296,P01408,0,508.4,66.6,182.62,,2024-02-03 08:39:24,2024-02-21 15:09:44
OI00195,O05791,P04462,,4350.71,396.58,394.24,Vendor,2024-01-06 17:10:29,2024-02-16 08:06:45
OI00196,O01152,P03386,1,821.24,313.11,140.25,warehouse,2024-12-28 14:10:02,2024-12-08 07:22:53
OI00197,O06965,P04251,3,4692.67,90.49,352.93,3PL,2024-03-12 08:25:53,2024-10-13 04:51:03
OI00198,O04086,P03546,1,4541.89,352.59,183.53,,2024-04-28 21:01:19,2024-06-13 07:43:41
OI00199,O03016,P03781,3,1981.24,453.95,428.4,Warehouse,2024-12-21 04:32:45,2024-09-11 13:23:49
OI00200,O11244,P01562,3,1844.41,483.52,436.02,,2024-06-17 08:14:25,2024-11-10 22:30:42
OI00201,O04004,P01257,3,3462.38,32,407.81,3PL,2024-03-15 19:18:47,2024-01-05 08:12:11
OI00202,O10058,P03732,0,1303.91,304.41,53.01,3PL,2024-12-27 02:54:33,2024-04-09 12:16:45
OI00203,O11173,P04924,1,3974.32,270.13,2.32,3PL,2024-12-23 14:18:40,2024-12-17 18:17:37
OI00204,O11615,P04396,1,4174.45,343.28,254.14,Vendor,2024-07-14 17:02:21,2024-04-02 05:08:42
OI00205,O11013,P03539,0,1238.73,23.44,178.16,,2024-02-09 17:33:11,2024-02-21 09:06:59
OI00206,O11306,P03699,3,2922.5,7.96,198.89,Warehouse,2024-12-11 04:00:35,2024-08-15 06:54:26
OI00207,O10388,P02952,,175.02,295.83,350.55,Vendor,2024-09-08 02:44:48,2024-06-21 01:01:07
OI00208,O09906,P00263,3,4505.29,16.76,283.3,VENDOR,2024-03-31 15:06:20,2024-07-12 08:19:42
OI00209,O10226,P02926,3,1235.55,95.41,362.37,Vendor,2024-01-16 04:13:27,2024-05-28 13:52:47
OI00210,O11853,P00657,0,380.07,380.85,405.41,Vendor,2024-01-29 09:51:06,2024-10-18 00:06:18
OI00211,O00792,P01427,2,3679.99,68.8,107.44,W@rehouse,2024-01-07 10:43:33,2024-08-01 16:00:53
OI00212,O11874,P02774,0,392.19,172.88,330.27,3PL,2024-08-24 14:06:44,2024-03-20 10:59:07
OI00213,O06636,P03463,0,2117.06,175.67,196.04,Warehouse,2024-06-10 00:49:44,2024-03-11 18:34:47
OI00214,O11133,P00983,3,3414.47,127.24,132.38,Vendor,2024-07-16 12:36:39,2024-10-15 00:48:07
OI00215,O11816,P02518,3,752.27,189.34,260.28,Warehouse,2024-02-20 03:21:09,2024-04-02 02:19:04
OI00216,O08380,P04101,0,2164.09,200.53,467.94,3PL,2024-10-22 01:05:43,2024-03-13 23:26:15
OI00217,O07487,P02287,0,3656.87,387.75,140.05,warehouse,2024-11-05 07:46:02,2024-04-25 11:43:08
OI00218,O10036,P01480,3,1581.26,197.25,325.81,Vendor,2024-01-02 14:40:14,2024-08-22 05:06:15
OI00219,O08334,P04074,3,3168.78,403.53,278.46,Warehouse,2024-09-28 02:55:31,2024-03-19 01:51:41
OI00220,O10186,P01530,1,3563.38,442.13,1.36,3PL,2024-04-17 15:24:54,2024-02-19 01:37:41
OI00221,O10542,P01798,1,3011.8,339.05,31.86,warehouse,2024-12-19 03:50:57,2024-02-12 09:14:19
OI00222,O10892,P02296,,1194.03,379.01,166.59,3pl,2024-04-02 08:44:53,2024-04-01 06:25:19
OI00223,O05724,P00394,2,3074.68,304.91,271.98,3pl,2024-05-28 09:40:41,2024-12-27 21:01:11
OI00224,O07618,P03851,1,398.39,400.19,190.21,Warehouse,2024-07-17 03:34:59,2024-03-24 20:12:18
OI00225,O10349,P00106,1,4230.36,37.63,11.33,3PL,2024-06-15 21:33:14,2024-12-22 10:20:53
OI00226,O11653,P04663,,2197.97,28.91,214.29,Warehouse,2024-05-05 06:45:22,2024-04-17 03:47:06
OI00227,O00252,P00713,2,4566.25,1.36,196.5,3PL,2024-02-10 23:53:02,2024-05-21 07:03:30
OI00228,O10255,P04956,1,4890.73,257.53,239.46,3PL,2024-02-10 09:19:27,2024-12-05 16:41:11
OI00229,O01160,P04898,,963.34,318.03,343.96,,2024-08-25 04:12:10,2024-02-11 13:30:26
OI00230,O11218,P00566,3,3761.42,255.46,374.89,3PL,2024-06-29 04:00:18,2024-10-03 04:05:21
OI00231,O07322,P02815,2,1061.14,497.76,144.83,Vendor,2024-03-08 11:54:24,2024-12-08 15:19:18
OI00232,O10160,P04282,2,3716.37,110.26,372.27,,2024-09-18 07:41:32,2024-02-17 17:43:14
OI00233,O10121,P01368,,3012.75,365.47,327.12,WAREHOUSE,2024-05-17 13:15:26,2024-06-12 00:51:44
OI00234,O11946,P02631,1,1171.99,124.15,339.98,Vendor,2024-09-06 04:20:47,2024-05-16 11:09:09
OI00235,O10502,P03619,0,1010.85,326.24,292.38,Vendor,2024-10-18 11:35:05,2024-03-13 02:25:46
OI00236,O00664,P03513,3,485.01,375,42.82,Warehouse,2024-04-03 07:59:36,2024-12-07 10:40:07
OI00237,O11673,P00648,0,4488.22,334.73,446.97,W@rehouse,2024-03-20 06:08:48,2024-08-12 20:18:48
OI00238,O03103,P02777,1,1509.54,493.01,41.17,WAREHOUSE,2024-02-03 16:23:44,2024-10-20 07:24:18
